tweet_id,tweet_text,class_label
1021769300368154629,"#Greece: fire-service spokeswoman says death toll from #Athens has risen to 74. 187 people hospitalized with injuries, including 23 chlildren. #Greecefires #Greecewildfires",injured_or_dead_people
1025450095859441666,"Greeces public order minister Nikos Toskas resigns in wake of the wildfires that killed at least 88 people. According to latest info, 40 people with burn injuries remain hospitalized. #Mati",injured_or_dead_people
1022101917726650369,NASA satellite image captures devastation of Greece wildfires  #Greece #news,infrastructure_and_utility_damage
1023740115213053952,Montreals Greek community holds benefit concert to support victims of wildfires  #Greece #news,rescue_volunteering_or_donation_effort
1022574229013848068,Please #help fire victims in #Greece ὢ2. A small help from all of us can make a big difference! Kindly donate to  #AthensFires #greecefire #Greeceonfire #AthensFire #HelpGreece #support #nature #humanity #Tragedy,rescue_volunteering_or_donation_effort
1023233410700140544,RT @ffromthestands: #Gate7 #Olympiacos helping the injured people after the big fire in Greece,rescue_volunteering_or_donation_effort
1021752191315529730,Im glad my babies are safe. #Greece wildfires - Days of mourning declared as 60 die. ὢ2,injured_or_dead_people
1022034537751171072,"Today, Greece is in mourning,” #prayforgreece #fires #greece #athens",sympathy_and_support
1026497305128693760,"RT @HellenicLeaders: Over 2,000 people have donated to our Greece Wildfire Relief Campaign. Join them today and help us reach our goal: htt",rescue_volunteering_or_donation_effort
1021900107250323457,"Armys please get involved and help in anyway you can by donating or simply spreading the information and the tags. There are so many people that will need medication, supplies and support after the tragic wildfires that happened #BTSARMY #PrayForGreece #PrayForAthens #Greecefires",requests_or_urgent_needs
1028301077366693888,἞C἟7 Please give generously around The City Ground this afternoon to help raise vital funds for those affected by the wildfires in Greece. #NFFC #ThatLovingFeeling,requests_or_urgent_needs
1022114342299463682,"We join the people of Greece in mourning the victims of this deadly catastrophe and wish a soon recovery to the injured: President Pankin sends condolences to Yannis Dragasakis, Dep. PM and @BSTDB Governor for the Hellenic Republic, about the terrible wildfires.",sympathy_and_support
1022524434098397187,"Let’s not forget our colleagues, physicians, nurses, paramedics who work in extreme conditions in Greece to help victims of recent wildfires. #EAPCI. @escardio @PCRonline",sympathy_and_support
1021876638013894666,This is the place were the bodies of 26 of the dead - many of them huddled together - were discovered in the coastal village of #Mati #Πυρκαγια #Greece #GREECEWILDFIRES,injured_or_dead_people
1022055162637103104,"I talked with my Brother He is fine, away from the fires! Now along with a friend he is going to help with the waters &amp; the medicine for the victims #AthensFires #πυρκαγιες",rescue_volunteering_or_donation_effort
1022138028800786433,"@OdetteAnnable Ive created a fundraiser too , to help in any way I can the people here in Greece. It would mean a lot if you could give it a RT to help more people know about it.",rescue_volunteering_or_donation_effort
1021883708809388033,"One image, 1000 words #wildfires #athens #AthensFires #Attiki #PrayforAthen #PrayForAthens #greece #Greece #PrayForGreece #prayforgreece",sympathy_and_support
1022438370444824576,Call for helping and assisting for the victims of the huge wildfire that occurred in Greece. Please share and retweet.,rescue_volunteering_or_donation_effort
1021741803756646401,"ὒ5 UPDATE: Reports up to 65 fatalities approx. 150+ injured &amp; others reported missing people number unknown. Many residents trapped in seaside villages only one way to escape raging flames fled into sea. Deadliest wildfire! Italy, Germany, Poland, France sent help. #GreeceFires",injured_or_dead_people
1022158479967100928,#SokratisPapastathopoulos heartwarming gesture to #Greece wildfire victims,sympathy_and_support
1021812961747320839,Pray For Greece ἟9἟7 ἞C἟7 #Πυρκαγια #PrayForGreece #PrayForAthens,sympathy_and_support
1021713565986762752,Horror and sadness. We never learn :(. The death toll is just unimaginable and it keeps climbing.,sympathy_and_support
1022501813466095616,RT @AnastasiaTheGr: PLEASE HELP US SAVE OUR FORESTS #Yunanistan #GecmisOlsunKomsu,requests_or_urgent_needs
1022124477830889474,This familys home has been destroyed as wildfires continue to rage across Athens #Greecefires Read more as Greece deals with its deadliest wildfires in decades:,infrastructure_and_utility_damage
1022726800001179648,"Tragedy in Greece. Yesterday, Israel offered to help Greece put out deadly wildfires that killed dozens of people on Monday and Tuesday and ravaged resort areas. Thoughts and prayers for the people of Greece!",rescue_volunteering_or_donation_effort
1029201081312657409,"One more fire victim dies in hospital, death toll increases to 95  #Greece #news",injured_or_dead_people
1022215095785582593,Fears grow for Irish man missing in Greek wildfires #Ireland #Athens #Mati,missing_or_found_people
1022819534984630272,Ὦ9️὆8‍Ὡ2Images from the two fire-fighting Canadairs #italy has sent to assist #Greece against the devastating #wildfires in #AthensFires . A big thank you @emergenzavvf! ὄDὄA,sympathy_and_support
1022095340542017537,@NewEuropeans @DimitriosGian Thank you so much for this post and for all the #solidarity messages. Here is a link with information on some of the ways in which people can help:  put together by @thkoutsaft #Greecefires #wildfires #Greece #Europe,sympathy_and_support
1022060161328992256,"Still bracing for the death toll to climb, but it’s still double digits; small mercies",injured_or_dead_people
1022421079099367429,"Death toll from deadly Attica fires rises to 82, says fire service  #Greece",injured_or_dead_people
1022127361804791810,Ecumenical Patriarch Bartholomew encourages support for fire victims,sympathy_and_support
1022270760956641281,The wildfires in #Greece have been described as the second most deadly to hit any country this century. Please consider donating to help on-the-ground relief efforts. Any amount helps those in need. #HelpGreeceNow Donate here:,rescue_volunteering_or_donation_effort
1021820689244803072,THIS is what humanity is all about. People waiting in line to donate blood for the victims from the wildfire in Greece. #greece #PrayForGreece,rescue_volunteering_or_donation_effort
1024698877176365057,Families of wildfire victims file suit against GREEK authorities  #Greece #news,not_humanitarian
1021714296269627392,Greek flag to fly at half mast at parliament over fire victims  #Greece #news,sympathy_and_support
1022116491204984832,Cedefop is deeply saddened by the loss of life and destruction the wildfires in our host country ἞C἟7 #Greece have caused. The Greek and ἞A἟AEU flags at Cedefop’s headquarters in #Thessaloniki are flying at half-mast for the duration of the three-day national mourning.,sympathy_and_support
1021849677581438976,Terrible news from Greece about the #Greecefires my thoughts go out to anyone who has lost someone in this horrible tragedy Much love to the amazing people of ἞C἟7 #greece,sympathy_and_support
1021742758871089155,Devastating photos show the impact of deadly wildfires in Athens,other_relevant_information
